Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Order,Industry Logo,Title
Tech Startups — Los Angeles,tech-startups-la,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a0f,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Venice and Silicon Beach produce some of the most ambitious startups in the country. We are the app developers in Los Angeles that early-stage founders call when they need an MVP in six weeks, not six months.",67,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05d8442565fb1789d350fd_startup.webp,Tech Startups
Healthcare — Jacksonville,healthcare-jacksonville,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a11,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"We build custom mobile apps and web applications for healthcare providers, fintech companies, e-commerce brands, and logistics operations tied to Jacksonville's major port. HIPAA-compliant solutions for Northeast Florida's growing healthcare network.",68,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare
Fintech — Jacksonville,fintech-jacksonville,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a13,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"We serve fintech companies across Jacksonville with secure, compliant digital tools including payment platforms, client portals, and mobile banking applications.",69,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,Fintech
E-Commerce — Jacksonville,ecommerce-jacksonville,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a15,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"E-commerce brands across Jacksonville and Northeast Florida rely on us for custom storefronts, inventory management, and mobile shopping experiences built to convert.",70,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf480ff9da21767e4cdf_ecommerce.webp,E-Commerce
Logistics — Jacksonville,logistics-jacksonville,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a17,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Jacksonville's major port and logistics hub means our clients need fleet tracking apps, route optimization tools, and warehouse management systems that perform at scale.",71,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05da8b0c8742d51f6b6e57_logistics.webp,Logistics
Real Estate — Jacksonville,real-estate-jacksonville,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a19,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Jacksonville's growing real estate market drives demand for property search apps, virtual tour platforms, and CRM integrations for brokerages and property managers.",72,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate
Professional Services — Jacksonville,professional-services-jacksonville,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a1b,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"We serve professional services firms across Jacksonville with client portals, CRM integrations, billing tools, and the operational software that keeps client relationships organized.",73,,Professional Services
Financial Services — Hartford,financial-services-hartford,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a1d,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Hartford's financial services sector needs secure, compliant digital tools. Our team builds trading dashboards, client portals, and compliance reporting platforms with the encryption and audit-trail capabilities Connecticut financial institutions require.",74,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,Financial Services
Healthcare — Hartford,healthcare-hartford,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a1f,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Connecticut healthcare organizations rely on us for patient-facing apps, telehealth solutions, and HIPAA-compliant data systems that meet strict security and privacy requirements.",75,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare
Manufacturing — Hartford,manufacturing-hartford,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a21,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Illinois is the fifth-largest manufacturing state. We build inventory management systems, IoT dashboards, and supply chain visibility tools for manufacturers across the greater Hartford region.",76,,Manufacturing
Nonprofits & Education — Hartford,nonprofits-education-hartford,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a23,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 16:09:21 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 16:11:25 GMT+0000 (Coordinated Universal Time),Donor management platforms and learning applications tied to the UConn innovation ecosystem. We help Connecticut nonprofits and educational organizations build digital tools that extend their mission.,77,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05e54ada2388da46a44ae5_nonprofit.webp,Nonprofits & Education
FinTech — Chicago,fintech-chicago,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a25,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Chicago is the nation's derivatives capital. We build trading dashboards, payment platforms, and compliance tools for financial services firms across the region.",78,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,FinTech
Healthcare — Chicago,healthcare-chicago,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a27,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"From hospital networks on the North Side to healthtech ventures near the Illinois Medical District, we develop HIPAA-aware mobile and web applications for telehealth and clinical workflows.",79,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare
Logistics & Transportation — Chicago,logistics-chicago,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a29,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Chicago's position as a rail and freight hub makes it ground zero for logistics technology. We build fleet management apps, route optimization tools, and warehouse platforms.",80,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05da8b0c8742d51f6b6e57_logistics.webp,Logistics & Transportation
E-Commerce — Chicago,ecommerce-chicago,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a2b,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"We develop custom e-commerce platforms and mobile shopping apps for local retailers, D2C brands, and marketplace operators across Chicago.",81,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf480ff9da21767e4cdf_ecommerce.webp,E-Commerce
Real Estate — Chicago,real-estate-chicago,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a2d,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),The commercial and residential real estate market demands purpose-built technology. We create property management dashboards and tenant portals for Chicago-area brokerages and property managers.,82,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf53f08c1d0c09904945_retail.webp,Real Estate
Education — Chicago,education-chicago,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a2f,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"From Northwestern in Evanston to UChicago on the South Side, we work with edtech companies building learning management systems and student engagement apps.",83,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05e0ac2ecd05a0648d433e_education%20(1).webp,Education
Manufacturing — Chicago,manufacturing-chicago,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a31,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),Illinois is the fifth-largest manufacturing state. We build inventory management systems and IoT dashboards for manufacturers across the Chicago metro.,84,,Manufacturing
FinTech — Austin,fintech-austin,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a33,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Austin's FinTech presence has grown alongside the broader Silicon Hills expansion. We build secure, compliance-aware mobile and web apps for payments, lending, and financial dashboards.",85,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf68f687efe2bc3fe0b2_fintech.webp,FinTech
SaaS — Austin,saas-austin,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a35,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"Austin SaaS companies — from bootstrapped teams to Capital Factory alumni — come to us for B2B web apps, admin portals, and companion mobile clients that reduce churn.",86,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05d8442565fb1789d350fd_startup.webp,SaaS
Healthcare — Austin,healthcare-austin,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a37,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"We build HIPAA-aware patient portals, telehealth apps, and clinical workflow tools for Austin healthcare providers and health-tech startups.",87,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05cf61a73add9bf609f8da_health.webp,Healthcare
Enterprise — Austin,enterprise-austin,6a04c47741e7eeadd1b35a20,66ad2be6a1fc504a2d6a22b0,6a07108e65dc3daa9ac06a39,false,false,Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 12:24:46 GMT+0000 (Coordinated Universal Time),Fri May 15 2026 15:58:24 GMT+0000 (Coordinated Universal Time),"With Dell, Tesla, Samsung, and dozens of Fortune 500 satellites in Central Texas, we take on enterprise app development work: internal tools, field apps, and integrations with existing ERP and CRM systems.",88,https://cdn.prod.website-files.com/66ad2be6a1fc504a2d6a22b2/6a05dd8b89627cc12b4459f7_solutions.webp,Enterprise
